epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,620.626,1.44463,10.3668,0.69385,2.75421,1.49905,0.28886,0.86392,0.53953,0.31492,0,0,0,0,1.16524,10.3137,0.6532,8.0666,1.19973,0.000225,0.000225,0.000225
2,1468.5,1.17609,9.08139,0.67343,1.7877,1.2418,0.37785,0.93536,0.63955,0.39175,0,0,0,0,1.14297,9.12866,0.61854,7.60604,1.19313,0.000460974,0.000460974,0.000460974
3,2246.07,1.25734,8.58199,0.65216,1.70303,1.30029,0.44103,0.89856,0.74887,0.47799,0,0,0,0,1.0801,8.9306,0.52243,7.9462,1.37371,0.00069538,0.00069538,0.00069538
4,2692.51,1.2657,7.9411,0.61385,1.55763,1.33189,0.4965,0.64687,0.43938,0.2245,0,0,0,0,1.50821,8.10833,0.43161,7.26263,1.75085,0.000928219,0.000928219,0.000928219
5,3124.32,1.31374,7.63864,0.5785,1.63582,1.3592,0.48417,0.46725,0.42906,0.1835,0.00599,0.00373,0.00013,1e-05,1.82589,8.51329,0.43413,6.08612,2.00222,0.00115949,0.00115949,0.00115949
6,3550.55,1.26251,7.26573,0.55098,1.47202,1.30459,0.51631,0.73113,0.73121,0.42207,0.08996,0.07083,0.02617,0.00385,1.28018,7.40157,0.33993,4.17268,1.41229,0.00122937,0.00122937,0.00122937
7,3977.46,1.30035,6.87459,0.52632,1.38391,1.32881,0.60443,0.73488,0.70333,0.33998,0.09413,0.1049,0.01979,0.00234,1.67809,6.91544,0.2818,2.086,2.02181,0.00122525,0.00122525,0.00122525
8,4405.6,1.26881,6.45791,0.50176,1.32486,1.30671,0.81252,0.74018,0.83507,0.47197,0.16805,0.09504,0.05496,0.00631,1.27352,6.22558,0.21829,1.41764,1.44892,0.00122112,0.00122112,0.00122112
9,4844.23,1.2209,6.12444,0.48679,1.30473,1.29146,0.47596,0.66862,0.6826,0.43658,0.00448,0.00735,0.00035,6e-05,1.15371,7.38874,0.19625,1.9794,1.43265,0.001217,0.001217,0.001217
10,5281.55,1.19828,6.05561,0.48426,1.21661,1.28243,0.54387,0.83235,0.80535,0.49621,0.53976,0.05208,0.01452,0.00184,1.27736,6.52908,0.18651,1.78049,1.69614,0.00121287,0.00121287,0.00121287
11,5711.14,1.23988,5.92038,0.47146,1.2701,1.31163,0.63398,0.96881,0.85412,0.57658,0.12191,0.12951,0.05785,0.00772,1.10455,5.92234,0.18088,1.12247,1.26744,0.00120875,0.00120875,0.00120875
12,6138.35,1.17048,5.5427,0.45022,1.17542,1.25137,0.78238,0.87359,0.84574,0.52193,0.03476,0.11447,0.01609,0.00196,1.25192,6.12699,0.17643,1.03772,1.42509,0.00120462,0.00120462,0.00120462
13,6562.22,1.17276,5.37726,0.45117,1.23788,1.25986,0.60093,0.87903,0.76751,0.50567,0.0076,0.01108,0.00047,7e-05,1.1575,6.44145,0.20196,1.26365,1.25185,0.0012005,0.0012005,0.0012005
